python q4_sentiment.py  --yourvectors
=== Recap ===
Reg		Train	Dev	Test
1.00E-06	30.138	28.701	28.914
1.00E-05	30.103	28.974	28.778
1.00E-04	30.068	28.610	28.643
1.00E-03	30.103	28.520	28.824
1.00E-02	30.115	28.883	28.643
1.00E-01	30.091	28.883	28.733
1.00E+00	30.056	28.792	28.733
1.00E+01	30.080	28.883	28.552
1.00E+02	29.576	27.793	28.190
1.00E+03	29.202	27.430	28.371
1.00E+04	28.933	27.793	28.009
1.00E+05	28.909	28.247	27.059
1.00E+06	27.505	25.886	23.213
1.00E+07	27.247	25.522	23.032
1.00E+08	27.247	25.522	23.032
1.00E+09	27.247	25.522	23.032

Best regularization value: 1.00E-05
Test accuracy (%): 28.778281

------------------------------
python q4_sentiment.py  --pretrained

=== Recap ===
Reg		Train	Dev	Test
1.00E-06	39.139	35.967	36.516
1.00E-05	39.162	35.967	36.516
1.00E-04	39.162	36.058	36.425
1.00E-03	39.139	35.967	36.516
1.00E-02	39.127	36.058	36.471
1.00E-01	39.127	35.967	36.471
1.00E+00	39.115	35.876	36.516
1.00E+01	39.033	36.149	36.697
1.00E+02	39.221	36.149	36.833
1.00E+03	38.682	36.331	37.964
1.00E+04	37.289	36.149	36.923
1.00E+05	33.485	32.788	33.348
1.00E+06	27.727	25.886	23.665
1.00E+07	27.247	25.522	23.032
1.00E+08	27.247	25.522	23.032
1.00E+09	27.247	25.522	23.032

Best regularization value: 1.00E+03
Test accuracy (%): 37.963801

